['01', '30', '03', '21']
['01', '30', '03', '23']
['01', '30', '03', '10']
['01', '30', '03', '12']
['01', '30', '03', '13']
['01', '30', '03', '31']
['01', '30', '03', '32']
['01', '30', '20', '02']
['01', '30', '20', '03']
['01', '30', '20', '21']
['01', '30', '20', '23']
['01', '30', '20', '10']
['01', '30', '20', '12']
['01', '30', '20', '13']
['01', '30', '20', '31']
['01', '30', '20', '32']
['01', '30', '21', '02']
['01', '30', '21', '03']
['01', '30', '21', '20']
['01', '30', '21', '23']
['01', '30', '21', '10']
['01', '30', '21', '12']
['01', '30', '21', '13']
['01', '30', '21', '31']
['01', '30', '21', '32']
['01', '30', '23', '02']
['01', '30', '23', '03']
['01', '30', '23', '20']
['01', '30', '23', '21']
['01', '30', '23', '10']
['01', '30', '23', '12']
['01', '30', '23', '13']
['01', '30', '23', '31']
['01', '30', '23', '32']
['01', '30', '10', '02']
['01', '30', '10', '03']
['01', '30', '10', '20']
['01', '30', '10', '21']
['01', '30', '10', '23']
['01', '30', '10', '12']
['01', '30', '10', '13']
['01', '30', '10', '31']
['01', '30', '10', '32']
['01', '30', '12', '02']
['01', '30', '12', '03']
['01', '30', '12', '20']
['01', '30', '12', '21']
['01', '30', '12', '23']
['01', '30', '12', '10']
['01', '30', '12', '13']
['01', '30', '12', '31']
['01', '30', '12', '32']
['01', '30', '13', '02']
['01', '30', '13', '03']
['01', '30', '13', '20']
['01', '30', '13', '21']
['01', '30', '13', '23']
['01', '30', '13', '10']
['01', '30', '13', '12']
['01', '30', '13', '31']
['01', '30', '13', '32']
['01', '30', '31', '02']
['01', '30', '31', '03']
['01', '30', '31', '20']
['01', '30', '31', '21']
['01', '30', '31', '23']
['01', '30', '31', '10']
['01', '30', '31', '12']
['01', '30', '31', '13']
['01', '30', '31', '32']
['01', '30', '32', '02']
['01', '30', '32', '03']
['01', '30', '32', '20']
['01', '30', '32', '21']
['01', '30', '32', '23']
['01', '30', '32', '10']
['01', '30', '32', '12']
['01', '30', '32', '13']
['01', '30', '32', '31']
['01', '31', '02', '03']
['01', '31', '02', '20']
['01', '31', '02', '21']
['01', '31', '02', '23']
['01', '31', '02', '10']
['01', '31', '02', '12']
['01', '31', '02', '13']
['01', '31', '02', '30']
['01', '31', '02', '32']
['01', '31', '03', '02']
['01', '31', '03', '20']
['01', '31', '03', '21']
['01', '31', '03', '23']
['01', '31', '03', '10']
['01', '31', '03', '12']
['01', '31', '03', '13']
['01', '31', '03', '30']
['01', '31', '03', '32']
['01', '31', '20', '02']
['01', '31', '20', '03']
['01', '31', '20', '21']
['01', '31', '20', '23']
['01', '31', '20', '10']
['01', '31', '20', '12']
['01', '31', '20', '13']
['01', '31', '20', '30']
['01', '31', '20', '32']
['01', '31', '21', '02']
['01', '31', '21', '03']
['01', '31', '21', '20']
['01', '31', '21', '23']
['01', '31', '21', '10']
['01', '31', '21', '12']
['01', '31', '21', '13']
['01', '31', '21', '30']
['01', '31', '21', '32']
['01', '31', '23', '02']
['01', '31', '23', '03']
['01', '31', '23', '20']
['01', '31', '23', '21']
['01', '31', '23', '10']
['01', '31', '23', '12']
['01', '31', '23', '13']
['01', '31', '23', '30']
['01', '31', '23', '32']
['01', '31', '10', '02']
['01', '31', '10', '03']
['01', '31', '10', '20']
['01', '31', '10', '21']
['01', '31', '10', '23']
['01', '31', '10', '12']
['01', '31', '10', '13']
['01', '31', '10', '30']
['01', '31', '10', '32']
['01', '31', '12', '02']
['01', '31', '12', '03']
['01', '31', '12', '20']
['01', '31', '12', '21']
['01', '31', '12', '23']
['01', '31', '12', '10']
['01', '31', '12', '13']
['01', '31', '12', '30']
['01', '31', '12', '32']
['01', '31', '13', '02']
['01', '31', '13', '03']
['01', '31', '13', '20']
['01', '31', '13', '21']
['01', '31', '13', '23']
['01', '31', '13', '10']
['01', '31', '13', '12']
['01', '31', '13', '30']
['01', '31', '13', '32']
['01', '31', '30', '02']
['01', '31', '30', '03']
['01', '31', '30', '20']
['01', '31', '30', '21']
['01', '31', '30', '23']
['01', '31', '30', '10']
['01', '31', '30', '12']
['01', '31', '30', '13']
['01', '31', '30', '32']
['01', '31', '32', '02']
['01', '31', '32', '03']
['01', '31', '32', '20']
['01', '31', '32', '21']
['01', '31', '32', '23']
['01', '31', '32', '10']
['01', '31', '32', '12']
['01', '31', '32', '13']
['01', '31', '32', '30']
['01', '32', '02', '03']
['01', '32', '02', '20']
['01', '32', '02', '21']
['01', '32', '02', '23']
['01', '32', '02', '10']
['01', '32', '02', '12']
['01', '32', '02', '13']
['01', '32', '02', '30']
['01', '32', '02', '31']
['01', '32', '03', '02']
['01', '32', '03', '20']
['01', '32', '03', '21']
['01', '32', '03', '23']
['01', '32', '03', '10']
['01', '32', '03', '12']
['01', '32', '03', '13']
['01', '32', '03', '30']
['01', '32', '03', '31']
['01', '32', '20', '02']
['01', '32', '20', '03']
['01', '32', '20', '21']
['01', '32', '20', '23']
['01', '32', '20', '10']
['01', '32', '20', '12']
['01', '32', '20', '13']
['01', '32', '20', '30']
['01', '32', '20', '31']
['01', '32', '21', '02']
['01', '32', '21', '03']
['01', '32', '21', '20']
['01', '32', '21', '23']
['01', '32', '21', '10']
['01', '32', '21', '12']
['01', '32', '21', '13']
['01', '32', '21', '30']
['01', '32', '21', '31']
['01', '32', '23', '02']
['01', '32', '23', '03']
['01', '32', '23', '20']
['01', '32', '23', '21']
['01', '32', '23', '10']
['01', '32', '23', '12']
['01', '32', '23', '13']
['01', '32', '23', '30']
['01', '32', '23', '31']
['01', '32', '10', '02']
['01', '32', '10', '03']
['01', '32', '10', '20']
['01', '32', '10', '21']
['01', '32', '10', '23']
['01', '32', '10', '12']
['01', '32', '10', '13']
['01', '32', '10', '30']
['01', '32', '10', '31']
['01', '32', '12', '02']
['01', '32', '12', '03']
['01', '32', '12', '20']
['01', '32', '12', '21']
['01', '32', '12', '23']
['01', '32', '12', '10']
['01', '32', '12', '13']
['01', '32', '12', '30']
